month,monthNum,dayOfMonth,tideTime,tideHeight,date,tideDateTimeAus,high_low,high_low_1_2
January,1,21,08:34,2.05,21/01/2023,2023-01-21 08:34:00,High,High1
January,1,21,15:23,0.21,21/01/2023,2023-01-21 15:23:00,Low,Low2
January,1,21,21:21,1.43,21/01/2023,2023-01-21 21:21:00,High,High2
January,1,22,02:47,0.45,22/01/2023,2023-01-22 02:47:00,Low,Low1
January,1,22,09:28,2.12,22/01/2023,2023-01-22 09:28:00,High,High1
January,1,22,16:12,0.15,22/01/2023,2023-01-22 16:12:00,Low,Low2
January,1,22,22:15,1.48,22/01/2023,2023-01-22 22:15:00,High,High2
January,1,23,03:42,0.43,23/01/2023,2023-01-23 03:42:00,Low,Low1
January,1,23,10:19,2.13,23/01/2023,2023-01-23 10:19:00,High,High1
January,1,23,17:00,0.14,23/01/2023,2023-01-23 17:00:00,Low,Low2
January,1,23,23:04,1.51,23/01/2023,2023-01-23 23:04:00,High,High2
January,1,24,04:36,0.43,24/01/2023,2023-01-24 04:36:00,Low,Low1
January,1,24,11:09,2.08,24/01/2023,2023-01-24 11:09:00,High,High1
January,1,24,17:46,0.18,24/01/2023,2023-01-24 17:46:00,Low,Low2
January,1,24,23:55,1.54,24/01/2023,2023-01-24 23:55:00,High,High2
January,1,25,05:30,0.46,25/01/2023,2023-01-25 05:30:00,Low,Low1
January,1,25,11:58,1.97,25/01/2023,2023-01-25 11:58:00,High,High1
January,1,25,18:32,0.25,25/01/2023,2023-01-25 18:32:00,Low,Low2
January,1,26,00:45,1.55,26/01/2023,2023-01-26 00:45:00,High,High1
January,1,26,06:27,0.53,26/01/2023,2023-01-26 06:27:00,Low,Low1
January,1,26,12:45,1.8,26/01/2023,2023-01-26 12:45:00,High,High2
January,1,26,19:16,0.34,26/01/2023,2023-01-26 19:16:00,Low,Low2
January,1,27,01:35,1.55,27/01/2023,2023-01-27 01:35:00,High,High1
January,1,27,07:26,0.61,27/01/2023,2023-01-27 07:26:00,Low,Low1
January,1,27,13:34,1.61,27/01/2023,2023-01-27 13:34:00,High,High2
January,1,27,20:00,0.45,27/01/2023,2023-01-27 20:00:00,Low,Low2
January,1,28,02:28,1.55,28/01/2023,2023-01-28 02:28:00,High,High1
January,1,28,08:30,0.69,28/01/2023,2023-01-28 08:30:00,Low,Low1
January,1,28,14:27,1.42,28/01/2023,2023-01-28 14:27:00,High,High2
January,1,28,20:45,0.55,28/01/2023,2023-01-28 20:45:00,Low,Low2
January,1,29,03:24,1.55,29/01/2023,2023-01-29 03:24:00,High,High1
January,1,29,09:44,0.74,29/01/2023,2023-01-29 09:44:00,Low,Low1
January,1,29,15:29,1.27,29/01/2023,2023-01-29 15:29:00,High,High2
January,1,29,21:31,0.64,29/01/2023,2023-01-29 21:31:00,Low,Low2
January,1,30,04:23,1.57,30/01/2023,2023-01-30 04:23:00,High,High1
January,1,30,11:06,0.75,30/01/2023,2023-01-30 11:06:00,Low,Low1
January,1,30,16:43,1.17,30/01/2023,2023-01-30 16:43:00,High,High2
January,1,30,22:25,0.7,30/01/2023,2023-01-30 22:25:00,Low,Low2
January,1,31,05:21,1.59,31/01/2023,2023-01-31 05:21:00,High,High1
January,1,31,12:23,0.71,31/01/2023,2023-01-31 12:23:00,Low,Low1
January,1,31,18:00,1.14,31/01/2023,2023-01-31 18:00:00,High,High2
January,1,31,23:23,0.73,31/01/2023,2023-01-31 23:23:00,Low,Low2
February,2,1,06:16,1.63,01/02/2023,2023-02-01 06:16:00,High,High1
February,2,1,13:21,0.64,01/02/2023,2023-02-01 13:21:00,Low,Low1
February,2,1,19:05,1.17,01/02/2023,2023-02-01 19:05:00,High,High2
February,2,2,00:19,0.72,02/02/2023,2023-02-02 00:19:00,Low,Low1
February,2,2,07:05,1.67,02/02/2023,2023-02-02 07:05:00,High,High1
February,2,2,14:05,0.57,02/02/2023,2023-02-02 14:05:00,Low,Low2
February,2,2,19:55,1.22,02/02/2023,2023-02-02 19:55:00,High,High2
February,2,3,01:10,0.7,03/02/2023,2023-02-03 01:10:00,Low,Low1
February,2,3,07:50,1.72,03/02/2023,2023-02-03 07:50:00,High,High1
February,2,3,14:42,0.51,03/02/2023,2023-02-03 14:42:00,Low,Low2
February,2,3,20:35,1.28,03/02/2023,2023-02-03 20:35:00,High,High2
February,2,4,01:55,0.66,04/02/2023,2023-02-04 01:55:00,Low,Low1
February,2,4,08:30,1.76,04/02/2023,2023-02-04 08:30:00,High,High1
February,2,4,15:15,0.46,04/02/2023,2023-02-04 15:15:00,Low,Low2
February,2,4,21:12,1.33,04/02/2023,2023-02-04 21:12:00,High,High2
February,2,5,02:34,0.62,05/02/2023,2023-02-05 02:34:00,Low,Low1
February,2,5,09:08,1.79,05/02/2023,2023-02-05 09:08:00,High,High1
February,2,5,15:47,0.43,05/02/2023,2023-02-05 15:47:00,Low,Low2
February,2,5,21:45,1.36,05/02/2023,2023-02-05 21:45:00,High,High2
February,2,6,03:12,0.59,06/02/2023,2023-02-06 03:12:00,Low,Low1
February,2,6,09:44,1.81,06/02/2023,2023-02-06 09:44:00,High,High1
February,2,6,16:18,0.41,06/02/2023,2023-02-06 16:18:00,Low,Low2
February,2,6,22:19,1.39,06/02/2023,2023-02-06 22:19:00,High,High2
February,2,7,03:48,0.57,07/02/2023,2023-02-07 03:48:00,Low,Low1
February,2,7,10:17,1.81,07/02/2023,2023-02-07 10:17:00,High,High1
February,2,7,16:49,0.4,07/02/2023,2023-02-07 16:49:00,Low,Low2
February,2,7,22:52,1.42,07/02/2023,2023-02-07 22:52:00,High,High2
February,2,8,04:25,0.57,08/02/2023,2023-02-08 04:25:00,Low,Low1
February,2,8,10:50,1.79,08/02/2023,2023-02-08 10:50:00,High,High1
February,2,8,17:18,0.41,08/02/2023,2023-02-08 17:18:00,Low,Low2
February,2,8,23:26,1.45,08/02/2023,2023-02-08 23:26:00,High,High2
February,2,9,05:03,0.59,09/02/2023,2023-02-09 05:03:00,Low,Low1
February,2,9,11:24,1.74,09/02/2023,2023-02-09 11:24:00,High,High1
February,2,9,17:49,0.43,09/02/2023,2023-02-09 17:49:00,Low,Low2
February,2,10,00:01,1.47,10/02/2023,2023-02-10 00:01:00,High,High1
February,2,10,05:44,0.62,10/02/2023,2023-02-10 05:44:00,Low,Low1
February,2,10,11:58,1.66,10/02/2023,2023-02-10 11:58:00,High,High2
February,2,10,18:20,0.46,10/02/2023,2023-02-10 18:20:00,Low,Low2
February,2,11,00:39,1.49,11/02/2023,2023-02-11 00:39:00,High,High1
February,2,11,06:29,0.66,11/02/2023,2023-02-11 06:29:00,Low,Low1
February,2,11,12:34,1.56,11/02/2023,2023-02-11 12:34:00,High,High2
February,2,11,18:52,0.5,11/02/2023,2023-02-11 18:52:00,Low,Low2
February,2,12,01:21,1.51,12/02/2023,2023-02-12 01:21:00,High,High1
February,2,12,07:19,0.7,12/02/2023,2023-02-12 07:19:00,Low,Low1
February,2,12,13:16,1.45,12/02/2023,2023-02-12 13:16:00,High,High2
February,2,12,19:29,0.56,12/02/2023,2023-02-12 19:29:00,Low,Low2
February,2,13,02:08,1.53,13/02/2023,2023-02-13 02:08:00,High,High1
February,2,13,08:20,0.73,13/02/2023,2023-02-13 08:20:00,Low,Low1
February,2,13,14:10,1.34,13/02/2023,2023-02-13 14:10:00,High,High2
February,2,13,20:13,0.62,13/02/2023,2023-02-13 20:13:00,Low,Low2
February,2,14,03:04,1.56,14/02/2023,2023-02-14 03:04:00,High,High1
February,2,14,09:36,0.72,14/02/2023,2023-02-14 09:36:00,Low,Low1
February,2,14,15:21,1.25,14/02/2023,2023-02-14 15:21:00,High,High2
February,2,14,21:12,0.67,14/02/2023,2023-02-14 21:12:00,Low,Low2
February,2,15,04:11,1.61,15/02/2023,2023-02-15 04:11:00,High,High1
February,2,15,11:02,0.67,15/02/2023,2023-02-15 11:02:00,Low,Low1
February,2,15,16:51,1.21,15/02/2023,2023-02-15 16:51:00,High,High2
February,2,15,22:26,0.69,15/02/2023,2023-02-15 22:26:00,Low,Low2
February,2,16,05:21,1.69,16/02/2023,2023-02-16 05:21:00,High,High1
February,2,16,12:19,0.56,16/02/2023,2023-02-16 12:19:00,Low,Low1
February,2,16,18:14,1.25,16/02/2023,2023-02-16 18:14:00,High,High2
February,2,16,23:41,0.66,16/02/2023,2023-02-16 23:41:00,Low,Low2
February,2,17,06:27,1.81,17/02/2023,2023-02-17 06:27:00,High,High1
February,2,17,13:23,0.43,17/02/2023,2023-02-17 13:23:00,Low,Low1
February,2,17,19:21,1.33,17/02/2023,2023-02-17 19:21:00,High,High2
February,2,18,00:46,0.59,18/02/2023,2023-02-18 00:46:00,Low,Low1
February,2,18,07:27,1.93,18/02/2023,2023-02-18 07:27:00,High,High1
February,2,18,14:16,0.3,18/02/2023,2023-02-18 14:16:00,Low,Low2
February,2,18,20:17,1.43,18/02/2023,2023-02-18 20:17:00,High,High2
February,2,19,01:45,0.5,19/02/2023,2023-02-19 01:45:00,Low,Low1
February,2,19,08:22,2.03,19/02/2023,2023-02-19 08:22:00,High,High1
February,2,19,15:05,0.21,19/02/2023,2023-02-19 15:05:00,Low,Low2
February,2,19,21:08,1.52,19/02/2023,2023-02-19 21:08:00,High,High2
February,2,20,02:40,0.42,20/02/2023,2023-02-20 02:40:00,Low,Low1
February,2,20,09:14,2.08,20/02/2023,2023-02-20 09:14:00,High,High1
February,2,20,15:50,0.16,20/02/2023,2023-02-20 15:50:00,Low,Low2
February,2,20,21:55,1.59,20/02/2023,2023-02-20 21:55:00,High,High2
February,2,21,03:33,0.38,21/02/2023,2023-02-21 03:33:00,Low,Low1
February,2,21,10:03,2.07,21/02/2023,2023-02-21 10:03:00,High,High1
February,2,21,16:33,0.17,21/02/2023,2023-02-21 16:33:00,Low,Low2
February,2,21,22:41,1.65,21/02/2023,2023-02-21 22:41:00,High,High2
February,2,22,04:25,0.37,22/02/2023,2023-02-22 04:25:00,Low,Low1
February,2,22,10:50,1.99,22/02/2023,2023-02-22 10:50:00,High,High1
February,2,22,17:15,0.22,22/02/2023,2023-02-22 17:15:00,Low,Low2
February,2,22,23:27,1.68,22/02/2023,2023-02-22 23:27:00,High,High2
February,2,23,05:17,0.41,23/02/2023,2023-02-23 05:17:00,Low,Low1
February,2,23,11:36,1.85,23/02/2023,2023-02-23 11:36:00,High,High1
February,2,23,17:55,0.31,23/02/2023,2023-02-23 17:55:00,Low,Low2
February,2,24,00:11,1.69,24/02/2023,2023-02-24 00:11:00,High,High1
February,2,24,06:12,0.48,24/02/2023,2023-02-24 06:12:00,Low,Low1
February,2,24,12:21,1.67,24/02/2023,2023-02-24 12:21:00,High,High2
February,2,24,18:33,0.42,24/02/2023,2023-02-24 18:33:00,Low,Low2
February,2,25,00:56,1.67,25/02/2023,2023-02-25 00:56:00,High,High1
February,2,25,07:07,0.57,25/02/2023,2023-02-25 07:07:00,Low,Low1
February,2,25,13:07,1.48,25/02/2023,2023-02-25 13:07:00,High,High2
February,2,25,19:11,0.54,25/02/2023,2023-02-25 19:11:00,Low,Low2
February,2,26,01:43,1.64,26/02/2023,2023-02-26 01:43:00,High,High1
February,2,26,08:08,0.66,26/02/2023,2023-02-26 08:08:00,Low,Low1
February,2,26,13:57,1.31,26/02/2023,2023-02-26 13:57:00,High,High2
February,2,26,19:49,0.66,26/02/2023,2023-02-26 19:49:00,Low,Low2
February,2,27,02:33,1.59,27/02/2023,2023-02-27 02:33:00,High,High1
February,2,27,09:16,0.73,27/02/2023,2023-02-27 09:16:00,Low,Low1
February,2,27,14:57,1.18,27/02/2023,2023-02-27 14:57:00,High,High2
February,2,27,20:35,0.76,27/02/2023,2023-02-27 20:35:00,Low,Low2
February,2,28,03:31,1.55,28/02/2023,2023-02-28 03:31:00,High,High1
February,2,28,10:34,0.75,28/02/2023,2023-02-28 10:34:00,Low,Low1
February,2,28,16:19,1.12,28/02/2023,2023-02-28 16:19:00,High,High2
February,2,28,21:38,0.82,28/02/2023,2023-02-28 21:38:00,Low,Low2
March,3,1,04:36,1.54,01/03/2023,2023-03-01 04:36:00,High,High1
March,3,1,11:52,0.72,01/03/2023,2023-03-01 11:52:00,Low,Low1
March,3,1,17:48,1.13,01/03/2023,2023-03-01 17:48:00,High,High2
March,3,1,22:53,0.84,01/03/2023,2023-03-01 22:53:00,Low,Low2
March,3,2,05:42,1.55,02/03/2023,2023-03-02 05:42:00,High,High1
March,3,2,12:51,0.67,02/03/2023,2023-03-02 12:51:00,Low,Low1
March,3,2,18:51,1.2,02/03/2023,2023-03-02 18:51:00,High,High2
March,3,3,00:02,0.81,03/03/2023,2023-03-03 00:02:00,Low,Low1
March,3,3,06:39,1.6,03/03/2023,2023-03-03 06:39:00,High,High1
March,3,3,13:36,0.6,03/03/2023,2023-03-03 13:36:00,Low,Low2
March,3,3,19:37,1.27,03/03/2023,2023-03-03 19:37:00,High,High2
March,3,4,00:58,0.75,04/03/2023,2023-03-04 00:58:00,Low,Low1
March,3,4,07:26,1.66,04/03/2023,2023-03-04 07:26:00,High,High1
March,3,4,14:13,0.54,04/03/2023,2023-03-04 14:13:00,Low,Low2
March,3,4,20:14,1.34,04/03/2023,2023-03-04 20:14:00,High,High2
March,3,5,01:42,0.68,05/03/2023,2023-03-05 01:42:00,Low,Low1
March,3,5,08:07,1.71,05/03/2023,2023-03-05 08:07:00,High,High1
March,3,5,14:45,0.49,05/03/2023,2023-03-05 14:45:00,Low,Low2
March,3,5,20:47,1.41,05/03/2023,2023-03-05 20:47:00,High,High2
March,3,6,02:21,0.62,06/03/2023,2023-03-06 02:21:00,Low,Low1
March,3,6,08:45,1.75,06/03/2023,2023-03-06 08:45:00,High,High1
March,3,6,15:15,0.45,06/03/2023,2023-03-06 15:15:00,Low,Low2
March,3,6,21:19,1.46,06/03/2023,2023-03-06 21:19:00,High,High2
March,3,7,02:57,0.57,07/03/2023,2023-03-07 02:57:00,Low,Low1
March,3,7,09:18,1.77,07/03/2023,2023-03-07 09:18:00,High,High1
March,3,7,15:44,0.42,07/03/2023,2023-03-07 15:44:00,Low,Low2
March,3,7,21:50,1.51,07/03/2023,2023-03-07 21:50:00,High,High2
March,3,8,03:32,0.54,08/03/2023,2023-03-08 03:32:00,Low,Low1
March,3,8,09:52,1.77,08/03/2023,2023-03-08 09:52:00,High,High1
March,3,8,16:12,0.41,08/03/2023,2023-03-08 16:12:00,Low,Low2
March,3,8,22:21,1.57,08/03/2023,2023-03-08 22:21:00,High,High2
March,3,9,04:09,0.53,09/03/2023,2023-03-09 04:09:00,Low,Low1
March,3,9,10:25,1.74,09/03/2023,2023-03-09 10:25:00,High,High1
March,3,9,16:40,0.42,09/03/2023,2023-03-09 16:40:00,Low,Low2
March,3,9,22:54,1.61,09/03/2023,2023-03-09 22:54:00,High,High2
March,3,10,04:47,0.53,10/03/2023,2023-03-10 04:47:00,Low,Low1
March,3,10,11:00,1.68,10/03/2023,2023-03-10 11:00:00,High,High1
March,3,10,17:08,0.45,10/03/2023,2023-03-10 17:08:00,Low,Low2
March,3,10,23:28,1.65,10/03/2023,2023-03-10 23:28:00,High,High2
March,3,11,05:29,0.55,11/03/2023,2023-03-11 05:29:00,Low,Low1
March,3,11,11:36,1.6,11/03/2023,2023-03-11 11:36:00,High,High1
March,3,11,17:38,0.49,11/03/2023,2023-03-11 17:38:00,Low,Low2
March,3,12,00:03,1.67,12/03/2023,2023-03-12 00:03:00,High,High1
March,3,12,06:15,0.58,12/03/2023,2023-03-12 06:15:00,Low,Low1
March,3,12,12:15,1.5,12/03/2023,2023-03-12 12:15:00,High,High2
March,3,12,18:11,0.56,12/03/2023,2023-03-12 18:11:00,Low,Low2
March,3,13,00:44,1.67,13/03/2023,2023-03-13 00:44:00,High,High1
March,3,13,07:07,0.62,13/03/2023,2023-03-13 07:07:00,Low,Low1
March,3,13,13:02,1.39,13/03/2023,2023-03-13 13:02:00,High,High2
March,3,13,18:49,0.64,13/03/2023,2023-03-13 18:49:00,Low,Low2
March,3,14,01:30,1.65,14/03/2023,2023-03-14 01:30:00,High,High1
March,3,14,08:10,0.66,14/03/2023,2023-03-14 08:10:00,Low,Low1
March,3,14,14:01,1.29,14/03/2023,2023-03-14 14:01:00,High,High2
March,3,14,19:38,0.72,14/03/2023,2023-03-14 19:38:00,Low,Low2
