dateTimeAus,tideCategory,tideCategoryHeight
2023-04-06 23:49:30,Falling,
2023-04-07 02:52:00,Low,0.51
2023-04-07 05:55:30,Rising,
2023-04-07 08:59:00,High,1.66
2023-04-07 11:58:30,Falling,
2023-04-07 14:58:00,Low,0.48
2023-04-07 18:09:30,Rising,
2023-04-07 21:21:00,High,1.79
2023-04-08 00:27:00,Falling,
2023-04-08 03:33:00,Low,0.49
2023-04-08 06:35:30,Rising,
2023-04-08 09:38:00,High,1.6
2023-04-08 12:34:00,Falling,
2023-04-08 15:30:00,Low,0.52
2023-04-08 18:43:30,Rising,
2023-04-08 21:57:00,High,1.83
2023-04-09 01:07:30,Falling,
2023-04-09 04:18:00,Low,0.5
2023-04-09 07:19:30,Rising,
2023-04-09 10:21:00,High,1.52
2023-04-09 13:12:30,Falling,
2023-04-09 16:04:00,Low,0.58
2023-04-09 19:19:30,Rising,
2023-04-09 22:35:00,High,1.83
2023-04-10 01:51:30,Falling,
2023-04-10 05:08:00,Low,0.52
2023-04-10 08:08:30,Rising,
2023-04-10 11:09:00,High,1.44
2023-04-10 13:56:00,Falling,
2023-04-10 16:43:00,Low,0.65
2023-04-10 20:00:30,Rising,
2023-04-10 23:18:00,High,1.81
2023-04-11 02:40:30,Falling,
2023-04-11 06:03:00,Low,0.56
2023-04-11 09:03:00,Rising,
2023-04-11 12:03:00,High,1.35
2023-04-11 14:46:00,Falling,
2023-04-11 17:29:00,Low,0.74
2023-04-11 20:49:30,Rising,
2023-04-12 00:10:00,High,1.76
2023-04-12 03:39:30,Falling,
2023-04-12 07:09:00,Low,0.59
2023-04-12 10:09:00,Rising,
2023-04-12 13:09:00,High,1.29
2023-04-12 15:49:00,Falling,
2023-04-12 18:29:00,Low,0.81
2023-04-12 21:51:30,Rising,
2023-04-13 01:14:00,High,1.72
2023-04-13 04:48:30,Falling,
2023-04-13 08:23:00,Low,0.6
2023-04-13 11:26:30,Rising,
2023-04-13 14:30:00,High,1.27
2023-04-13 17:08:00,Falling,
2023-04-13 19:46:00,Low,0.85
2023-04-13 23:08:00,Rising,
2023-04-14 02:30:00,High,1.7
2023-04-14 06:03:30,Falling,
2023-04-14 09:37:00,Low,0.56
2023-04-14 12:44:00,Rising,
2023-04-14 15:51:00,High,1.33
2023-04-14 18:32:00,Falling,
2023-04-14 21:13:00,Low,0.82
2023-04-15 00:30:30,Rising,
2023-04-15 03:48:00,High,1.73
2023-04-15 07:14:30,Falling,
2023-04-15 10:41:00,Low,0.5
2023-04-15 13:49:00,Rising,
2023-04-15 16:57:00,High,1.43
2023-04-15 19:43:00,Falling,
2023-04-15 22:29:00,Low,0.74
2023-04-16 01:42:00,Rising,
2023-04-16 04:55:00,High,1.78
2023-04-16 08:15:00,Falling,
2023-04-16 11:35:00,Low,0.43
2023-04-16 14:42:30,Rising,
2023-04-16 17:50:00,High,1.55
2023-04-16 20:41:30,Falling,
2023-04-16 23:33:00,Low,0.64
2023-04-17 02:42:30,Rising,
2023-04-17 05:52:00,High,1.83
2023-04-17 09:07:00,Falling,
2023-04-17 12:22:00,Low,0.38
2023-04-17 15:30:00,Rising,
2023-04-17 18:38:00,High,1.67
2023-04-17 21:34:00,Falling,
2023-04-18 00:30:00,Low,0.54
2023-04-18 03:37:30,Rising,
2023-04-18 06:45:00,High,1.83
2023-04-18 09:54:30,Falling,
2023-04-18 13:04:00,Low,0.36
2023-04-18 16:13:00,Rising,
2023-04-18 19:22:00,High,1.78
2023-04-18 22:22:30,Falling,
2023-04-19 01:23:00,Low,0.47
2023-04-19 04:28:00,Rising,
2023-04-19 07:33:00,High,1.8
2023-04-19 10:38:30,Falling,
2023-04-19 13:44:00,Low,0.38
2023-04-19 16:54:00,Rising,
2023-04-19 20:04:00,High,1.86
2023-04-19 23:09:00,Falling,
2023-04-20 02:14:00,Low,0.43
2023-04-20 05:17:30,Rising,
2023-04-20 08:21:00,High,1.72
2023-04-20 11:21:00,Falling,
2023-04-20 14:21:00,Low,0.42
2023-04-20 17:33:00,Rising,
2023-04-20 20:45:00,High,1.91
2023-04-20 23:53:30,Falling,
2023-04-21 03:02:00,Low,0.42
2023-04-21 06:04:30,Rising,
2023-04-21 09:07:00,High,1.62
2023-04-21 12:02:00,Falling,
2023-04-21 14:57:00,Low,0.5
2023-04-21 18:10:30,Rising,
2023-04-21 21:24:00,High,1.93
2023-04-22 00:37:30,Falling,
2023-04-22 03:51:00,Low,0.45
2023-04-22 06:52:00,Rising,
2023-04-22 09:53:00,High,1.52
2023-04-22 12:42:30,Falling,
2023-04-22 15:32:00,Low,0.59
2023-04-22 18:47:00,Rising,
2023-04-22 22:02:00,High,1.91
2023-04-23 01:20:00,Falling,
2023-04-23 04:38:00,Low,0.5
2023-04-23 07:38:00,Rising,
2023-04-23 10:38:00,High,1.42
2023-04-23 13:22:00,Falling,
2023-04-23 16:06:00,Low,0.69
2023-04-23 19:23:00,Rising,
2023-04-23 22:40:00,High,1.85
2023-04-24 02:03:00,Falling,
2023-04-24 05:26:00,Low,0.56
2023-04-24 08:25:00,Rising,
2023-04-24 11:24:00,High,1.33
2023-04-24 14:02:30,Falling,
2023-04-24 16:41:00,Low,0.78
2023-04-24 19:59:30,Rising,
2023-04-24 23:18:00,High,1.78
2023-04-25 02:46:30,Falling,
2023-04-25 06:15:00,Low,0.62
2023-04-25 09:14:00,Rising,
2023-04-25 12:13:00,High,1.27
2023-04-25 14:47:00,Falling,
2023-04-25 17:21:00,Low,0.86
2023-04-25 20:40:30,Rising,
2023-04-26 00:00:00,High,1.69
2023-04-26 03:33:30,Falling,
2023-04-26 07:07:00,Low,0.68
2023-04-26 10:07:30,Rising,
2023-04-26 13:08:00,High,1.23
2023-04-26 15:40:30,Falling,
2023-04-26 18:13:00,Low,0.92
2023-04-26 21:32:00,Rising,
2023-04-27 00:51:00,High,1.61
2023-04-27 04:28:00,Falling,
2023-04-27 08:05:00,Low,0.72
2023-04-27 11:10:00,Rising,
2023-04-27 14:15:00,High,1.23
2023-04-27 16:47:30,Falling,
2023-04-27 19:20:00,Low,0.96
2023-04-27 22:36:30,Rising,
2023-04-28 01:53:00,High,1.55
2023-04-28 05:30:00,Falling,
2023-04-28 09:07:00,Low,0.73
2023-04-28 12:18:30,Rising,
2023-04-28 15:30:00,High,1.26
2023-04-28 18:05:30,Falling,
2023-04-28 20:41:00,Low,0.96
2023-04-28 23:52:30,Rising,
2023-04-29 03:04:00,High,1.52
2023-04-29 06:33:30,Falling,
2023-04-29 10:03:00,Low,0.7
2023-04-29 13:16:30,Rising,
2023-04-29 16:30:00,High,1.33
2023-04-29 19:13:00,Falling,
2023-04-29 21:56:00,Low,0.92
2023-04-30 01:02:30,Rising,
2023-04-30 04:09:00,High,1.54
2023-04-30 07:30:30,Falling,
2023-04-30 10:52:00,Low,0.66
2023-04-30 14:04:30,Rising,
2023-04-30 17:17:00,High,1.42
2023-04-30 20:07:00,Falling,
2023-04-30 22:57:00,Low,0.85
2023-05-01 01:59:30,Rising,
2023-05-01 05:02:00,High,1.57
2023-05-01 08:17:00,Falling,
2023-05-01 11:32:00,Low,0.61
2023-05-01 14:44:00,Rising,
2023-05-01 17:56:00,High,1.51
2023-05-01 20:51:30,Falling,
2023-05-01 23:47:00,Low,0.77
2023-05-02 02:47:30,Rising,
2023-05-02 05:48:00,High,1.6
2023-05-02 08:58:00,Falling,
2023-05-02 12:08:00,Low,0.57
2023-05-02 15:19:00,Rising,
2023-05-02 18:30:00,High,1.61
2023-05-02 21:30:30,Falling,
2023-05-03 00:31:00,Low,0.68
2023-05-03 03:30:30,Rising,
2023-05-03 06:30:00,High,1.61
2023-05-03 09:35:00,Falling,
2023-05-03 12:40:00,Low,0.54
2023-05-03 15:52:00,Rising,
2023-05-03 19:04:00,High,1.71
2023-05-03 22:08:00,Falling,
2023-05-04 01:12:00,Low,0.61
2023-05-04 04:11:00,Rising,
2023-05-04 07:10:00,High,1.61
2023-05-04 10:10:30,Falling,
2023-05-04 13:11:00,Low,0.53
2023-05-04 16:24:30,Rising,
2023-05-04 19:38:00,High,1.8
2023-05-04 22:45:30,Falling,
2023-05-05 01:53:00,Low,0.54
2023-05-05 04:52:00,Rising,
2023-05-05 07:51:00,High,1.6
2023-05-05 10:47:30,Falling,
2023-05-05 13:44:00,Low,0.53
2023-05-05 16:58:30,Rising,
2023-05-05 20:13:00,High,1.89
2023-05-05 23:24:30,Falling,
2023-05-06 02:36:00,Low,0.48
2023-05-06 05:35:30,Rising,
2023-05-06 08:35:00,High,1.57
2023-05-06 11:26:30,Falling,
2023-05-06 14:18:00,Low,0.55
2023-05-06 17:34:30,Rising,
2023-05-06 20:51:00,High,1.95
2023-05-07 00:06:00,Falling,
2023-05-07 03:21:00,Low,0.44
2023-05-07 06:21:30,Rising,
2023-05-07 09:22:00,High,1.52
2023-05-07 12:09:30,Falling,
2023-05-07 14:57:00,Low,0.59
2023-05-07 18:14:00,Rising,
2023-05-07 21:31:00,High,1.97
2023-05-08 00:50:30,Falling,
2023-05-08 04:10:00,Low,0.44
2023-05-08 07:11:30,Rising,
2023-05-08 10:13:00,High,1.47
2023-05-08 12:56:30,Falling,
2023-05-08 15:40:00,Low,0.65
2023-05-08 18:58:00,Rising,
2023-05-08 22:16:00,High,1.96
2023-05-09 01:39:30,Falling,
2023-05-09 05:03:00,Low,0.45
2023-05-09 08:05:00,Rising,
2023-05-09 11:07:00,High,1.42
2023-05-09 13:48:00,Falling,
2023-05-09 16:29:00,Low,0.72
2023-05-09 19:47:00,Rising,
2023-05-09 23:05:00,High,1.92
2023-05-10 02:33:00,Falling,
2023-05-10 06:01:00,Low,0.48
2023-05-10 09:04:00,Rising,
2023-05-10 12:07:00,High,1.37
2023-05-10 14:46:00,Falling,
2023-05-10 17:25:00,Low,0.78
2023-05-10 20:43:00,Rising,
2023-05-11 00:01:00,High,1.86
2023-05-11 03:33:00,Falling,
2023-05-11 07:05:00,Low,0.51
2023-05-11 10:09:30,Rising,
2023-05-11 13:14:00,High,1.35
2023-05-11 15:52:00,Falling,
2023-05-11 18:30:00,Low,0.83
2023-05-11 21:47:30,Rising,
2023-05-12 01:05:00,High,1.8
2023-05-12 04:38:00,Falling,
2023-05-12 08:11:00,Low,0.53
2023-05-12 11:18:00,Rising,
2023-05-12 14:25:00,High,1.38
2023-05-12 17:05:00,Falling,
2023-05-12 19:45:00,Low,0.84
2023-05-12 23:01:00,Rising,
2023-05-13 02:17:00,High,1.75
2023-05-13 05:45:30,Falling,
2023-05-13 09:14:00,Low,0.52
2023-05-13 12:23:00,Rising,
2023-05-13 15:32:00,High,1.45
2023-05-13 18:17:30,Falling,
2023-05-13 21:03:00,Low,0.81
2023-05-14 00:16:00,Rising,
2023-05-14 03:29:00,High,1.73
2023-05-14 06:49:30,Falling,
2023-05-14 10:10:00,Low,0.5
2023-05-14 13:20:30,Rising,
2023-05-14 16:31:00,High,1.55
2023-05-14 19:24:00,Falling,
2023-05-14 22:17:00,Low,0.75
2023-05-15 01:24:30,Rising,
2023-05-15 04:32:00,High,1.71
2023-05-15 07:46:00,Falling,
2023-05-15 11:00:00,Low,0.48
2023-05-15 14:12:00,Rising,
2023-05-15 17:24:00,High,1.66
2023-05-15 20:23:30,Falling,
2023-05-15 23:23:00,Low,0.67
2023-05-16 02:26:00,Rising,
2023-05-16 05:29:00,High,1.69
2023-05-16 08:37:00,Falling,
2023-05-16 11:45:00,Low,0.47
2023-05-16 14:58:00,Rising,
2023-05-16 18:11:00,High,1.77
2023-05-16 21:16:30,Falling,
2023-05-17 00:22:00,Low,0.59
2023-05-17 03:22:00,Rising,
2023-05-17 06:22:00,High,1.64
2023-05-17 09:23:30,Falling,
2023-05-17 12:25:00,Low,0.49
2023-05-17 15:39:30,Rising,
2023-05-17 18:54:00,High,1.86
2023-05-17 22:04:30,Falling,
2023-05-18 01:15:00,Low,0.53
2023-05-18 04:13:30,Rising,
2023-05-18 07:12:00,High,1.59
2023-05-18 10:08:00,Falling,
2023-05-18 13:04:00,Low,0.52
2023-05-18 16:19:30,Rising,
2023-05-18 19:35:00,High,1.92
2023-05-18 22:49:30,Falling,
2023-05-19 02:04:00,Low,0.49
2023-05-19 05:02:00,Rising,
2023-05-19 08:00:00,High,1.52
2023-05-19 10:51:00,Falling,
2023-05-19 13:42:00,Low,0.57
2023-05-19 16:58:30,Rising,
2023-05-19 20:15:00,High,1.95
2023-05-19 23:32:30,Falling,
2023-05-20 02:50:00,Low,0.47
2023-05-20 05:48:30,Rising,
2023-05-20 08:47:00,High,1.46
2023-05-20 11:32:30,Falling,
2023-05-20 14:18:00,Low,0.63
2023-05-20 17:36:00,Rising,
2023-05-20 20:54:00,High,1.95
2023-05-21 00:14:00,Falling,
2023-05-21 03:34:00,Low,0.48
2023-05-21 06:33:30,Rising,
2023-05-21 09:33:00,High,1.41
2023-05-21 12:14:00,Falling,
2023-05-21 14:55:00,Low,0.7
2023-05-21 18:12:30,Rising,
2023-05-21 21:30:00,High,1.93
2023-05-22 00:53:00,Falling,
2023-05-22 04:16:00,Low,0.51
2023-05-22 07:16:30,Rising,
2023-05-22 10:17:00,High,1.36
2023-05-22 12:54:30,Falling,
2023-05-22 15:32:00,Low,0.76
2023-05-22 18:50:00,Rising,
2023-05-22 22:08:00,High,1.87
2023-05-23 01:33:30,Falling,
2023-05-23 04:59:00,Low,0.55
2023-05-23 08:00:00,Rising,
2023-05-23 11:01:00,High,1.33
2023-05-23 13:36:30,Falling,
2023-05-23 16:12:00,Low,0.81
2023-05-23 19:29:00,Rising,
2023-05-23 22:46:00,High,1.81
2023-05-24 02:14:00,Falling,
2023-05-24 05:42:00,Low,0.6
2023-05-24 08:44:00,Rising,
2023-05-24 11:46:00,High,1.31
2023-05-24 14:20:30,Falling,
2023-05-24 16:55:00,Low,0.86
2023-05-24 20:11:30,Rising,
2023-05-24 23:28:00,High,1.73
2023-05-25 02:58:00,Falling,
2023-05-25 06:28:00,Low,0.65
2023-05-25 09:31:30,Rising,
2023-05-25 12:35:00,High,1.29
2023-05-25 15:10:00,Falling,
2023-05-25 17:45:00,Low,0.9
2023-05-25 20:59:30,Rising,
2023-05-26 00:14:00,High,1.66
2023-05-26 03:46:00,Falling,
2023-05-26 07:18:00,Low,0.68
2023-05-26 10:24:00,Rising,
2023-05-26 13:30:00,High,1.3
2023-05-26 16:07:00,Falling,
2023-05-26 18:44:00,Low,0.93
2023-05-26 21:55:30,Rising,
2023-05-27 01:07:00,High,1.59
2023-05-27 04:39:00,Falling,
2023-05-27 08:11:00,Low,0.69
2023-05-27 11:20:30,Rising,
2023-05-27 14:30:00,High,1.33
2023-05-27 17:11:00,Falling,
2023-05-27 19:52:00,Low,0.94
2023-05-27 22:59:30,Rising,
2023-05-28 02:07:00,High,1.54
2023-05-28 05:34:30,Falling,
2023-05-28 09:02:00,Low,0.68
2023-05-28 12:15:30,Rising,
2023-05-28 15:29:00,High,1.38
2023-05-28 18:16:30,Falling,
2023-05-28 21:04:00,Low,0.93
2023-05-29 00:07:00,Rising,
2023-05-29 03:10:00,High,1.52
2023-05-29 06:29:30,Falling,
2023-05-29 09:49:00,Low,0.66
2023-05-29 13:04:30,Rising,
2023-05-29 16:20:00,High,1.47
2023-05-29 19:15:30,Falling,
2023-05-29 22:11:00,Low,0.87
2023-05-30 01:09:00,Rising,
2023-05-30 04:07:00,High,1.51
2023-05-30 07:18:30,Falling,
2023-05-30 10:30:00,Low,0.63
2023-05-30 13:47:00,Rising,
2023-05-30 17:04:00,High,1.57
2023-05-30 20:06:30,Falling,
2023-05-30 23:09:00,Low,0.8
2023-05-31 02:04:30,Rising,
2023-05-31 05:00:00,High,1.5
2023-05-31 08:04:30,Falling,
2023-05-31 11:09:00,Low,0.6
2023-05-31 14:26:30,Rising,
2023-05-31 17:44:00,High,1.67
2023-05-31 20:52:00,Falling,
2023-06-01 00:00:00,Low,0.7
2023-06-01 02:54:30,Rising,
2023-06-01 05:49:00,High,1.5
2023-06-01 08:47:00,Falling,
2023-06-01 11:45:00,Low,0.59
2023-06-01 15:03:30,Rising,
2023-06-01 18:22:00,High,1.79
2023-06-01 21:34:30,Falling,
2023-06-02 00:47:00,Low,0.61
2023-06-02 03:42:00,Rising,
2023-06-02 06:37:00,High,1.5
2023-06-02 09:30:30,Falling,
2023-06-02 12:24:00,Low,0.58
2023-06-02 15:42:30,Rising,
2023-06-02 19:01:00,High,1.89
2023-06-02 22:17:00,Falling,
2023-06-03 01:33:00,Low,0.51
2023-06-03 04:29:30,Rising,
2023-06-03 07:26:00,High,1.5
2023-06-03 10:14:30,Falling,
2023-06-03 13:03:00,Low,0.58
2023-06-03 16:23:00,Rising,
2023-06-03 19:43:00,High,1.98
2023-06-03 23:02:00,Falling,
2023-06-04 02:21:00,Low,0.43
2023-06-04 05:19:00,Rising,
2023-06-04 08:17:00,High,1.49
2023-06-04 11:02:00,Falling,
2023-06-04 13:47:00,Low,0.59
2023-06-04 17:07:00,Rising,
2023-06-04 20:27:00,High,2.04
2023-06-04 23:48:30,Falling,
2023-06-05 03:10:00,Low,0.38
2023-06-05 06:10:30,Rising,
2023-06-05 09:11:00,High,1.47
2023-06-05 11:53:00,Falling,
2023-06-05 14:35:00,Low,0.61
2023-06-05 17:55:00,Rising,
2023-06-05 21:15:00,High,2.06
2023-06-06 00:38:00,Falling,
2023-06-06 04:01:00,Low,0.36
2023-06-06 07:03:00,Rising,
2023-06-06 10:05:00,High,1.46
2023-06-06 12:46:00,Falling,
2023-06-06 15:27:00,Low,0.65
2023-06-06 18:45:30,Rising,
2023-06-06 22:04:00,High,2.05
2023-06-07 01:30:00,Falling,
2023-06-07 04:56:00,Low,0.36
2023-06-07 07:59:00,Rising,
2023-06-07 11:02:00,High,1.44
2023-06-07 13:42:30,Falling,
2023-06-07 16:23:00,Low,0.68
2023-06-07 19:40:30,Rising,
2023-06-07 22:58:00,High,2.01
2023-06-08 02:25:00,Falling,
2023-06-08 05:52:00,Low,0.39
2023-06-08 08:56:00,Rising,
2023-06-08 12:00:00,High,1.43
2023-06-08 14:41:00,Falling,
2023-06-08 17:22:00,Low,0.72
2023-06-08 20:37:30,Rising,
2023-06-08 23:53:00,High,1.93
2023-06-09 03:21:00,Falling,
2023-06-09 06:49:00,Low,0.43
2023-06-09 09:55:00,Rising,
2023-06-09 13:01:00,High,1.44
2023-06-09 15:43:30,Falling,
2023-06-09 18:26:00,Low,0.76
2023-06-09 21:39:30,Rising,
2023-06-10 00:53:00,High,1.84
2023-06-10 04:19:30,Falling,
2023-06-10 07:46:00,Low,0.46
2023-06-10 10:54:30,Rising,
2023-06-10 14:03:00,High,1.48
2023-06-10 16:49:00,Falling,
2023-06-10 19:35:00,Low,0.78
2023-06-10 22:46:00,Rising,
2023-06-11 01:57:00,High,1.74
2023-06-11 05:19:00,Falling,
2023-06-11 08:41:00,Low,0.49
2023-06-11 11:52:30,Rising,
2023-06-11 15:04:00,High,1.54
2023-06-11 17:56:30,Falling,
2023-06-11 20:49:00,Low,0.78
2023-06-11 23:55:30,Rising,
2023-06-12 03:02:00,High,1.64
2023-06-12 06:17:00,Falling,
2023-06-12 09:32:00,Low,0.52
2023-06-12 12:46:30,Rising,
2023-06-12 16:01:00,High,1.62
2023-06-12 19:02:00,Falling,
2023-06-12 22:03:00,Low,0.75
2023-06-13 01:04:30,Rising,
2023-06-13 04:06:00,High,1.56
2023-06-13 07:13:00,Falling,
2023-06-13 10:20:00,Low,0.54
2023-06-13 13:37:30,Rising,
2023-06-13 16:55:00,High,1.71
2023-06-13 20:05:00,Falling,
2023-06-13 23:15:00,Low,0.69
2023-06-14 02:10:30,Rising,
2023-06-14 05:06:00,High,1.49
2023-06-14 08:05:00,Falling,
2023-06-14 11:04:00,Low,0.57
2023-06-14 14:23:30,Rising,
2023-06-14 17:43:00,High,1.8
2023-06-14 20:59:00,Falling,
2023-06-15 00:15:00,Low,0.62
2023-06-15 03:08:30,Rising,
2023-06-15 06:02:00,High,1.43
2023-06-15 08:54:00,Falling,
2023-06-15 11:46:00,Low,0.6
2023-06-15 15:07:00,Rising,
2023-06-15 18:28:00,High,1.86
2023-06-15 21:48:00,Falling,
2023-06-16 01:08:00,Low,0.56
2023-06-16 04:01:30,Rising,
2023-06-16 06:55:00,High,1.4
2023-06-16 09:41:30,Falling,
2023-06-16 12:28:00,Low,0.63
2023-06-16 15:49:00,Rising,
2023-06-16 19:10:00,High,1.9
2023-06-16 22:32:00,Falling,
2023-06-17 01:54:00,Low,0.52
2023-06-17 04:49:30,Rising,
2023-06-17 07:45:00,High,1.37
2023-06-17 10:27:00,Falling,
2023-06-17 13:09:00,Low,0.66
2023-06-17 16:29:30,Rising,
2023-06-17 19:50:00,High,1.92
2023-06-17 23:13:00,Falling,
2023-06-18 02:36:00,Low,0.49
2023-06-18 05:33:00,Rising,
2023-06-18 08:30:00,High,1.36
2023-06-18 11:09:00,Falling,
2023-06-18 13:48:00,Low,0.69
2023-06-18 17:08:30,Rising,
2023-06-18 20:29:00,High,1.92
2023-06-18 23:52:00,Falling,
2023-06-19 03:15:00,Low,0.49
2023-06-19 06:14:30,Rising,
2023-06-19 09:14:00,High,1.35
2023-06-19 11:51:00,Falling,
2023-06-19 14:28:00,Low,0.72
2023-06-19 17:47:00,Rising,
2023-06-19 21:06:00,High,1.9
2023-06-20 00:29:30,Falling,
2023-06-20 03:53:00,Low,0.5
2023-06-20 06:54:00,Rising,
2023-06-20 09:55:00,High,1.35
2023-06-20 12:31:30,Falling,
2023-06-20 15:08:00,Low,0.74
2023-06-20 18:26:00,Rising,
2023-06-20 21:44:00,High,1.86
2023-06-21 01:07:00,Falling,
2023-06-21 04:30:00,Low,0.52
2023-06-21 07:32:00,Rising,
2023-06-21 10:34:00,High,1.34
2023-06-21 13:11:00,Falling,
2023-06-21 15:48:00,Low,0.76
2023-06-21 19:04:30,Rising,
2023-06-21 22:21:00,High,1.81
2023-06-22 01:45:00,Falling,
2023-06-22 05:09:00,Low,0.55
2023-06-22 08:12:00,Rising,
2023-06-22 11:15:00,High,1.34
2023-06-22 13:53:00,Falling,
2023-06-22 16:31:00,Low,0.79
2023-06-22 19:45:30,Rising,
2023-06-22 23:00:00,High,1.76
2023-06-23 02:24:30,Falling,
2023-06-23 05:49:00,Low,0.58
2023-06-23 08:54:00,Rising,
2023-06-23 11:59:00,High,1.34
2023-06-23 14:37:30,Falling,
2023-06-23 17:16:00,Low,0.82
2023-06-23 20:28:00,Rising,
2023-06-23 23:40:00,High,1.69
2023-06-24 03:05:00,Falling,
2023-06-24 06:30:00,Low,0.61
2023-06-24 09:37:30,Rising,
2023-06-24 12:45:00,High,1.35
2023-06-24 15:26:30,Falling,
2023-06-24 18:08:00,Low,0.85
2023-06-24 21:16:30,Rising,
2023-06-25 00:25:00,High,1.61
2023-06-25 03:50:00,Falling,
2023-06-25 07:15:00,Low,0.62
2023-06-25 10:25:00,Rising,
2023-06-25 13:35:00,High,1.38
2023-06-25 16:20:00,Falling,
2023-06-25 19:05:00,Low,0.88
2023-06-25 22:09:30,Rising,
2023-06-26 01:14:00,High,1.54
2023-06-26 04:36:30,Falling,
2023-06-26 07:59:00,Low,0.63
2023-06-26 11:14:00,Rising,
2023-06-26 14:29:00,High,1.42
2023-06-26 17:20:30,Falling,
2023-06-26 20:12:00,Low,0.89
2023-06-26 23:11:00,Rising,
2023-06-27 02:10:00,High,1.47
2023-06-27 05:26:30,Falling,
2023-06-27 08:43:00,Low,0.63
2023-06-27 12:02:00,Rising,
2023-06-27 15:21:00,High,1.5
2023-06-27 18:22:00,Falling,
2023-06-27 21:23:00,Low,0.86
2023-06-28 00:17:30,Rising,
2023-06-28 03:12:00,High,1.41
2023-06-28 06:20:00,Falling,
2023-06-28 09:28:00,Low,0.63
2023-06-28 12:49:30,Rising,
2023-06-28 16:11:00,High,1.59
2023-06-28 19:20:30,Falling,
2023-06-28 22:30:00,Low,0.79
2023-06-29 01:22:30,Rising,
2023-06-29 04:15:00,High,1.38
2023-06-29 07:14:00,Falling,
2023-06-29 10:13:00,Low,0.63
2023-06-29 13:36:00,Rising,
2023-06-29 16:59:00,High,1.69
2023-06-29 20:15:00,Falling,
2023-06-29 23:31:00,Low,0.69
2023-06-30 02:23:00,Rising,
2023-06-30 05:15:00,High,1.38
2023-06-30 08:07:00,Falling,
2023-06-30 10:59:00,Low,0.62
2023-06-30 14:22:00,Rising,
2023-06-30 17:45:00,High,1.81
2023-06-30 21:05:30,Falling,
2023-07-01 00:26:00,Low,0.57
2023-07-01 03:19:30,Rising,
2023-07-01 06:13:00,High,1.39
2023-07-01 09:00:00,Falling,
2023-07-01 11:47:00,Low,0.6
2023-07-01 15:09:30,Rising,
2023-07-01 18:32:00,High,1.91
2023-07-01 21:54:30,Falling,
2023-07-02 01:17:00,Low,0.45
2023-07-02 04:13:00,Rising,
2023-07-02 07:09:00,High,1.41
2023-07-02 09:53:00,Falling,
2023-07-02 12:37:00,Low,0.58
2023-07-02 15:59:00,Rising,
2023-07-02 19:21:00,High,2.01
2023-07-02 22:44:30,Falling,
2023-07-03 02:08:00,Low,0.36
2023-07-03 05:06:00,Rising,
2023-07-03 08:04:00,High,1.43
2023-07-03 10:47:00,Falling,
2023-07-03 13:30:00,Low,0.57
2023-07-03 16:50:30,Rising,
2023-07-03 20:11:00,High,2.08
2023-07-03 23:34:30,Falling,
2023-07-04 02:58:00,Low,0.29
2023-07-04 05:59:00,Rising,
2023-07-04 09:00:00,High,1.46
2023-07-04 11:41:30,Falling,
2023-07-04 14:23:00,Low,0.55
2023-07-04 17:42:30,Rising,
2023-07-04 21:02:00,High,2.12
2023-07-05 00:25:00,Falling,
2023-07-05 03:48:00,Low,0.25
2023-07-05 06:51:00,Rising,
2023-07-05 09:54:00,High,1.48
2023-07-05 12:35:30,Falling,
2023-07-05 15:17:00,Low,0.55
2023-07-05 18:35:30,Rising,
2023-07-05 21:54:00,High,2.11
2023-07-06 01:17:00,Falling,
2023-07-06 04:40:00,Low,0.25
2023-07-06 07:43:30,Rising,
2023-07-06 10:47:00,High,1.49
2023-07-06 13:30:30,Falling,
2023-07-06 16:14:00,Low,0.56
2023-07-06 19:29:30,Rising,
2023-07-06 22:45:00,High,2.05
2023-07-07 02:07:30,Falling,
2023-07-07 05:30:00,Low,0.29
2023-07-07 08:35:30,Rising,
2023-07-07 11:41:00,High,1.51
2023-07-07 14:26:30,Falling,
2023-07-07 17:12:00,Low,0.6
2023-07-07 20:25:00,Rising,
2023-07-07 23:38:00,High,1.94
2023-07-08 02:59:30,Falling,
2023-07-08 06:21:00,Low,0.34
2023-07-08 09:28:30,Rising,
2023-07-08 12:36:00,High,1.53
2023-07-08 15:25:00,Falling,
2023-07-08 18:14:00,Low,0.65
2023-07-08 21:23:00,Rising,
2023-07-09 00:32:00,High,1.79
2023-07-09 03:52:00,Falling,
2023-07-09 07:12:00,Low,0.41
2023-07-09 10:22:00,Rising,
2023-07-09 13:32:00,High,1.56
2023-07-09 16:25:30,Falling,
2023-07-09 19:19:00,Low,0.7
2023-07-09 22:24:30,Rising,
2023-07-10 01:30:00,High,1.63
2023-07-10 04:45:00,Falling,
2023-07-10 08:00:00,Low,0.49
2023-07-10 11:15:00,Rising,
2023-07-10 14:30:00,High,1.6
2023-07-10 17:31:00,Falling,
2023-07-10 20:32:00,Low,0.73
2023-07-10 23:32:00,Rising,
2023-07-11 02:32:00,High,1.47
2023-07-11 05:40:30,Falling,
2023-07-11 08:49:00,Low,0.55
2023-07-11 12:08:30,Rising,
2023-07-11 15:28:00,High,1.65
2023-07-11 18:40:00,Falling,
2023-07-11 21:52:00,Low,0.73
2023-07-12 00:46:30,Rising,
2023-07-12 03:41:00,High,1.36
2023-07-12 06:39:30,Falling,
