dateTimeAus,tideCategory,tideCategoryHeight
2023-01-23 00:58:30,Falling,
2023-01-23 03:42:00,Low,0.43
2023-01-23 07:00:30,Rising,
2023-01-23 10:19:00,High,2.13
2023-01-23 13:39:30,Falling,
2023-01-23 17:00:00,Low,0.14
2023-01-23 20:02:00,Rising,
2023-01-23 23:04:00,High,1.51
2023-01-24 01:50:00,Falling,
2023-01-24 04:36:00,Low,0.43
2023-01-24 07:52:30,Rising,
2023-01-24 11:09:00,High,2.08
2023-01-24 14:27:30,Falling,
2023-01-24 17:46:00,Low,0.18
2023-01-24 20:50:30,Rising,
2023-01-24 23:55:00,High,1.54
2023-01-25 02:42:30,Falling,
2023-01-25 05:30:00,Low,0.46
2023-01-25 08:44:00,Rising,
2023-01-25 11:58:00,High,1.97
2023-01-25 15:15:00,Falling,
2023-01-25 18:32:00,Low,0.25
2023-01-25 21:38:30,Rising,
2023-01-26 00:45:00,High,1.55
2023-01-26 03:36:00,Falling,
2023-01-26 06:27:00,Low,0.53
2023-01-26 09:36:00,Rising,
2023-01-26 12:45:00,High,1.8
2023-01-26 16:00:30,Falling,
2023-01-26 19:16:00,Low,0.34
2023-01-26 22:25:30,Rising,
2023-01-27 01:35:00,High,1.55
2023-01-27 04:30:30,Falling,
2023-01-27 07:26:00,Low,0.61
2023-01-27 10:30:00,Rising,
2023-01-27 13:34:00,High,1.61
2023-01-27 16:47:00,Falling,
2023-01-27 20:00:00,Low,0.45
2023-01-27 23:14:00,Rising,
2023-01-28 02:28:00,High,1.55
2023-01-28 05:29:00,Falling,
2023-01-28 08:30:00,Low,0.69
2023-01-28 11:28:30,Rising,
2023-01-28 14:27:00,High,1.42
2023-01-28 17:36:00,Falling,
2023-01-28 20:45:00,Low,0.55
2023-01-29 00:04:30,Rising,
2023-01-29 03:24:00,High,1.55
2023-01-29 06:34:00,Falling,
2023-01-29 09:44:00,Low,0.74
2023-01-29 12:36:30,Rising,
2023-01-29 15:29:00,High,1.27
2023-01-29 18:30:00,Falling,
2023-01-29 21:31:00,Low,0.64
2023-01-30 00:57:00,Rising,
2023-01-30 04:23:00,High,1.57
2023-01-30 07:44:30,Falling,
2023-01-30 11:06:00,Low,0.75
2023-01-30 13:54:30,Rising,
2023-01-30 16:43:00,High,1.17
2023-01-30 19:34:00,Falling,
2023-01-30 22:25:00,Low,0.7
2023-01-31 01:53:00,Rising,
2023-01-31 05:21:00,High,1.59
2023-01-31 08:52:00,Falling,
2023-01-31 12:23:00,Low,0.71
2023-01-31 15:11:30,Rising,
2023-01-31 18:00:00,High,1.14
2023-01-31 20:41:30,Falling,
2023-01-31 23:23:00,Low,0.73
2023-02-01 02:49:30,Rising,
2023-02-01 06:16:00,High,1.63
2023-02-01 09:48:30,Falling,
2023-02-01 13:21:00,Low,0.64
2023-02-01 16:13:00,Rising,
2023-02-01 19:05:00,High,1.17
2023-02-01 21:42:00,Falling,
2023-02-02 00:19:00,Low,0.72
2023-02-02 03:42:00,Rising,
2023-02-02 07:05:00,High,1.67
2023-02-02 10:35:00,Falling,
2023-02-02 14:05:00,Low,0.57
2023-02-02 17:00:00,Rising,
2023-02-02 19:55:00,High,1.22
2023-02-02 22:32:30,Falling,
2023-02-03 01:10:00,Low,0.7
2023-02-03 04:30:00,Rising,
2023-02-03 07:50:00,High,1.72
2023-02-03 11:16:00,Falling,
2023-02-03 14:42:00,Low,0.51
2023-02-03 17:38:30,Rising,
2023-02-03 20:35:00,High,1.28
2023-02-03 23:15:00,Falling,
2023-02-04 01:55:00,Low,0.66
2023-02-04 05:12:30,Rising,
2023-02-04 08:30:00,High,1.76
2023-02-04 11:52:30,Falling,
2023-02-04 15:15:00,Low,0.46
2023-02-04 18:13:30,Rising,
2023-02-04 21:12:00,High,1.33
2023-02-04 23:53:00,Falling,
2023-02-05 02:34:00,Low,0.62
2023-02-05 05:51:00,Rising,
2023-02-05 09:08:00,High,1.79
2023-02-05 12:27:30,Falling,
2023-02-05 15:47:00,Low,0.43
2023-02-05 18:46:00,Rising,
2023-02-05 21:45:00,High,1.36
2023-02-06 00:28:30,Falling,
2023-02-06 03:12:00,Low,0.59
2023-02-06 06:28:00,Rising,
2023-02-06 09:44:00,High,1.81
2023-02-06 13:01:00,Falling,
2023-02-06 16:18:00,Low,0.41
2023-02-06 19:18:30,Rising,
2023-02-06 22:19:00,High,1.39
2023-02-07 01:03:30,Falling,
2023-02-07 03:48:00,Low,0.57
2023-02-07 07:02:30,Rising,
2023-02-07 10:17:00,High,1.81
2023-02-07 13:33:00,Falling,
2023-02-07 16:49:00,Low,0.4
2023-02-07 19:50:30,Rising,
2023-02-07 22:52:00,High,1.42
2023-02-08 01:38:30,Falling,
2023-02-08 04:25:00,Low,0.57
2023-02-08 07:37:30,Rising,
2023-02-08 10:50:00,High,1.79
2023-02-08 14:04:00,Falling,
2023-02-08 17:18:00,Low,0.41
2023-02-08 20:22:00,Rising,
2023-02-08 23:26:00,High,1.45
2023-02-09 02:14:30,Falling,
2023-02-09 05:03:00,Low,0.59
2023-02-09 08:13:30,Rising,
2023-02-09 11:24:00,High,1.74
2023-02-09 14:36:30,Falling,
2023-02-09 17:49:00,Low,0.43
2023-02-09 20:55:00,Rising,
2023-02-10 00:01:00,High,1.47
2023-02-10 02:52:30,Falling,
2023-02-10 05:44:00,Low,0.62
2023-02-10 08:51:00,Rising,
2023-02-10 11:58:00,High,1.66
2023-02-10 15:09:00,Falling,
2023-02-10 18:20:00,Low,0.46
2023-02-10 21:29:30,Rising,
2023-02-11 00:39:00,High,1.49
2023-02-11 03:34:00,Falling,
2023-02-11 06:29:00,Low,0.66
2023-02-11 09:31:30,Rising,
2023-02-11 12:34:00,High,1.56
2023-02-11 15:43:00,Falling,
2023-02-11 18:52:00,Low,0.5
2023-02-11 22:06:30,Rising,
2023-02-12 01:21:00,High,1.51
2023-02-12 04:20:00,Falling,
2023-02-12 07:19:00,Low,0.7
2023-02-12 10:17:30,Rising,
2023-02-12 13:16:00,High,1.45
2023-02-12 16:22:30,Falling,
2023-02-12 19:29:00,Low,0.56
2023-02-12 22:48:30,Rising,
2023-02-13 02:08:00,High,1.53
2023-02-13 05:14:00,Falling,
2023-02-13 08:20:00,Low,0.73
2023-02-13 11:15:00,Rising,
2023-02-13 14:10:00,High,1.34
2023-02-13 17:11:30,Falling,
2023-02-13 20:13:00,Low,0.62
2023-02-13 23:38:30,Rising,
2023-02-14 03:04:00,High,1.56
2023-02-14 06:20:00,Falling,
2023-02-14 09:36:00,Low,0.72
2023-02-14 12:28:30,Rising,
2023-02-14 15:21:00,High,1.25
2023-02-14 18:16:30,Falling,
2023-02-14 21:12:00,Low,0.67
2023-02-15 00:41:30,Rising,
2023-02-15 04:11:00,High,1.61
2023-02-15 07:36:30,Falling,
2023-02-15 11:02:00,Low,0.67
2023-02-15 13:56:30,Rising,
2023-02-15 16:51:00,High,1.21
2023-02-15 19:38:30,Falling,
2023-02-15 22:26:00,Low,0.69
2023-02-16 01:53:30,Rising,
2023-02-16 05:21:00,High,1.69
2023-02-16 08:50:00,Falling,
2023-02-16 12:19:00,Low,0.56
2023-02-16 15:16:30,Rising,
2023-02-16 18:14:00,High,1.25
2023-02-16 20:57:30,Falling,
2023-02-16 23:41:00,Low,0.66
2023-02-17 03:04:00,Rising,
2023-02-17 06:27:00,High,1.81
2023-02-17 09:55:00,Falling,
2023-02-17 13:23:00,Low,0.43
2023-02-17 16:22:00,Rising,
2023-02-17 19:21:00,High,1.33
2023-02-17 22:03:30,Falling,
2023-02-18 00:46:00,Low,0.59
2023-02-18 04:06:30,Rising,
2023-02-18 07:27:00,High,1.93
2023-02-18 10:51:30,Falling,
2023-02-18 14:16:00,Low,0.3
2023-02-18 17:16:30,Rising,
2023-02-18 20:17:00,High,1.43
2023-02-18 23:01:00,Falling,
2023-02-19 01:45:00,Low,0.5
2023-02-19 05:03:30,Rising,
2023-02-19 08:22:00,High,2.03
2023-02-19 11:43:30,Falling,
2023-02-19 15:05:00,Low,0.21
2023-02-19 18:06:30,Rising,
2023-02-19 21:08:00,High,1.52
2023-02-19 23:54:00,Falling,
2023-02-20 02:40:00,Low,0.42
2023-02-20 05:57:00,Rising,
2023-02-20 09:14:00,High,2.08
2023-02-20 12:32:00,Falling,
2023-02-20 15:50:00,Low,0.16
2023-02-20 18:52:30,Rising,
2023-02-20 21:55:00,High,1.59
2023-02-21 00:44:00,Falling,
2023-02-21 03:33:00,Low,0.38
2023-02-21 06:48:00,Rising,
2023-02-21 10:03:00,High,2.07
2023-02-21 13:18:00,Falling,
2023-02-21 16:33:00,Low,0.17
2023-02-21 19:37:00,Rising,
2023-02-21 22:41:00,High,1.65
2023-02-22 01:33:00,Falling,
2023-02-22 04:25:00,Low,0.37
2023-02-22 07:37:30,Rising,
2023-02-22 10:50:00,High,1.99
2023-02-22 14:02:30,Falling,
2023-02-22 17:15:00,Low,0.22
2023-02-22 20:21:00,Rising,
2023-02-22 23:27:00,High,1.68
2023-02-23 02:22:00,Falling,
2023-02-23 05:17:00,Low,0.41
2023-02-23 08:26:30,Rising,
2023-02-23 11:36:00,High,1.85
2023-02-23 14:45:30,Falling,
2023-02-23 17:55:00,Low,0.31
2023-02-23 21:03:00,Rising,
2023-02-24 00:11:00,High,1.69
2023-02-24 03:11:30,Falling,
2023-02-24 06:12:00,Low,0.48
2023-02-24 09:16:30,Rising,
2023-02-24 12:21:00,High,1.67
2023-02-24 15:27:00,Falling,
2023-02-24 18:33:00,Low,0.42
2023-02-24 21:44:30,Rising,
2023-02-25 00:56:00,High,1.67
2023-02-25 04:01:30,Falling,
2023-02-25 07:07:00,Low,0.57
2023-02-25 10:07:00,Rising,
2023-02-25 13:07:00,High,1.48
2023-02-25 16:09:00,Falling,
2023-02-25 19:11:00,Low,0.54
2023-02-25 22:27:00,Rising,
2023-02-26 01:43:00,High,1.64
2023-02-26 04:55:30,Falling,
2023-02-26 08:08:00,Low,0.66
2023-02-26 11:02:30,Rising,
2023-02-26 13:57:00,High,1.31
2023-02-26 16:53:00,Falling,
2023-02-26 19:49:00,Low,0.66
2023-02-26 23:11:00,Rising,
2023-02-27 02:33:00,High,1.59
2023-02-27 05:54:30,Falling,
2023-02-27 09:16:00,Low,0.73
2023-02-27 12:06:30,Rising,
2023-02-27 14:57:00,High,1.18
2023-02-27 17:46:00,Falling,
2023-02-27 20:35:00,Low,0.76
2023-02-28 00:03:00,Rising,
2023-02-28 03:31:00,High,1.55
2023-02-28 07:02:30,Falling,
2023-02-28 10:34:00,Low,0.75
2023-02-28 13:26:30,Rising,
2023-02-28 16:19:00,High,1.12
2023-02-28 18:58:30,Falling,
